#mu         density         sigma_xx         sigma_xy         alpha_xx         alpha_xy         beta_xx         beta_xy
 0.84000000  0.66366284   8.19175468e-01  1.75058257e+00  -3.80330877e-03 -1.51880923e-03   2.16432017e+00  4.62517682e+00
 0.88000000  0.66778635   8.13304573e-01  1.74798909e+00  -3.92449104e-03 -1.91237126e-03   2.14899537e+00  4.61828583e+00
 0.92000000  0.67206029   8.07293558e-01  1.74479137e+00  -3.99032628e-03 -2.25917034e-03   2.13330493e+00  4.61019367e+00
 0.96000000  0.67630913   8.01226564e-01  1.74114955e+00  -4.05762361e-03 -2.56078920e-03   2.11706028e+00  4.60052056e+00
 1.00000000  0.68037127   7.95010313e-01  1.73704201e+00  -4.17167779e-03 -2.91344433e-03   2.10051205e+00  4.58934619e+00
 1.04000000  0.68445602   7.88595449e-01  1.73232972e+00  -4.27014028e-03 -3.28988580e-03   2.08378823e+00  4.57703863e+00
 1.08000000  0.68865355   7.82083493e-01  1.72708036e+00  -4.32557000e-03 -3.60519505e-03   2.06664786e+00  4.56344411e+00
 1.12000000  0.69277123   7.75502276e-01  1.72141681e+00  -4.40058707e-03 -3.90788824e-03   2.04904412e+00  4.54827878e+00
 1.16000000  0.69674858   7.68760334e-01  1.71525167e+00  -4.50721250e-03 -4.26638803e-03   2.03121561e+00  4.53178523e+00
 1.20000000  0.70079127   7.61856149e-01  1.70849989e+00  -4.58683717e-03 -4.61759899e-03   2.01316942e+00  4.51419039e+00
 1.24000000  0.70490313   7.54876030e-01  1.70127234e+00  -4.63941566e-03 -4.91172037e-03   1.99470829e+00  4.49523610e+00
 1.28000000  0.70891261   7.47811541e-01  1.69363177e+00  -4.71726319e-03 -5.21966918e-03   1.97587315e+00  4.47479302e+00
 1.32000000  0.71282831   7.40593219e-01  1.68547006e+00  -4.81256072e-03 -5.57372845e-03   1.95684049e+00  4.45314759e+00
 1.36000000  0.71681862   7.33242417e-01  1.67675771e+00  -4.88024120e-03 -5.90102339e-03   1.93756271e+00  4.43038436e+00
 1.40000000  0.72084728   7.25821143e-01  1.66760749e+00  -4.93234965e-03 -6.18345472e-03   1.91790716e+00  4.40624925e+00
 1.44000000  0.72477436   7.18309555e-01  1.65803801e+00  -5.00717990e-03 -6.49194130e-03   1.89793856e+00  4.38072425e+00
 1.48000000  0.72863793   7.10660364e-01  1.64795145e+00  -5.09166066e-03 -6.83500204e-03   1.87777392e+00  4.35405979e+00
 1.52000000  0.73256712   7.02896622e-01  1.63734743e+00  -5.15336383e-03 -7.14587492e-03   1.85736407e+00  4.32626743e+00
 1.56000000  0.73651976   6.95061576e-01  1.62632211e+00  -5.20413320e-03 -7.42072961e-03   1.83662446e+00  4.29714471e+00
 1.60000000  0.74039077   6.87140125e-01  1.61488012e+00  -5.27175827e-03 -7.72121133e-03   1.81560509e+00  4.26670828e+00
 1.64000000  0.74420577   6.79099518e-01  1.60294252e+00  -5.34735040e-03 -8.05099818e-03   1.79438514e+00  4.23515248e+00
 1.68000000  0.74806362   6.70953446e-01  1.59050952e+00  -5.40697705e-03 -8.35419733e-03   1.77293862e+00  4.20248693e+00
 1.72000000  0.75195223   6.62733405e-01  1.57765749e+00  -5.45559127e-03 -8.62330443e-03   1.75120965e+00  4.16856499e+00
 1.76000000  0.75578774   6.54435903e-01  1.56440140e+00  -5.51366731e-03 -8.90731214e-03   1.72922030e+00  4.13338171e+00
 1.80000000  0.75955865   6.46038294e-01  1.55068425e+00  -5.58073869e-03 -9.22040001e-03   1.70702534e+00  4.09707562e+00
 1.84000000  0.76334590   6.37541648e-01  1.53648869e+00  -5.64014461e-03 -9.52242093e-03   1.68462634e+00  4.05969170e+00
 1.88000000  0.76716811   6.28966897e-01  1.52186527e+00  -5.68811702e-03 -9.79143042e-03   1.66199022e+00  4.02114425e+00
 1.92000000  0.77097645   6.20322009e-01  1.50684871e+00  -5.73679143e-03 -1.00556826e-02   1.63911446e+00  3.98139195e+00
 1.96000000  0.77472920   6.11596233e-01  1.49141432e+00  -5.79314182e-03 -1.03428355e-02   1.61602938e+00  3.94050539e+00
 2.00000000  0.77845404   6.02782119e-01  1.47553071e+00  -5.85040183e-03 -1.06395434e-02   1.59275370e+00  3.89855533e+00
 2.04000000  0.78220108   5.93887049e-01  1.45921041e+00  -5.90046523e-03 -1.09175188e-02   1.56927953e+00  3.85553004e+00
 2.08000000  0.78596517   5.84922176e-01  1.44248953e+00  -5.94470559e-03 -1.11743318e-02   1.54559682e+00  3.81138681e+00
 2.12000000  0.78971464   5.75889933e-01  1.42538199e+00  -5.98980887e-03 -1.14312287e-02   1.52171215e+00  3.76612866e+00
 2.16000000  0.79342437   5.66785785e-01  1.40787298e+00  -6.03843770e-03 -1.17018377e-02   1.49764093e+00  3.71980092e+00
 2.20000000  0.79711145   5.57607331e-01  1.38994822e+00  -6.08741367e-03 -1.19781405e-02   1.47339222e+00  3.67243908e+00
 2.24000000  0.80080337   5.48358016e-01  1.37161407e+00  -6.13287018e-03 -1.22446412e-02   1.44896641e+00  3.62404590e+00
 2.28000000  0.80450890   5.39043526e-01  1.35288989e+00  -6.17436159e-03 -1.24963702e-02   1.42436286e+00  3.57461228e+00
 2.32000000  0.80821475   5.29667330e-01  1.33378987e+00  -6.21414640e-03 -1.27406305e-02   1.39958543e+00  3.52414259e+00
 2.36000000  0.81190532   5.20229960e-01  1.31431616e+00  -6.25423480e-03 -1.29865442e-02   1.37464127e+00  3.47265700e+00
